,Tool_ID,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,R_measurement,ap,vc,f,Fx,Fy,Fz,F,Exp
789,-0.09281896813761789,0.044737462626109566,0.010826182467442377,-0.009196707240065957,-0.0021784429424195873,0.017052766998599717,-0.008953449575867634,-0.0033818979038811392,-0.029441857908322884,0.0,-0.0464098875374032,-0.0026857044448491342,-0.0005436196830560404,0.01689489386634516,-0.0024027921836292827,0.0
285,0.10175146422452512,0.026882448434062043,-0.008041339842378481,0.04118359762545202,0.009418884985491689,-0.03704409297427935,0.009090538402962407,0.01287620391528934,-0.0027479926159297715,0.0,0.16753591214777097,0.00024332157458528951,0.007094460309670585,0.041023295319134644,-0.005275712697841077,0.0
377,0.18340664166996065,0.20213805433673626,0.028393328536385133,0.13624629846868702,0.005509953976118582,0.04295690113561988,0.01769336851344574,-0.0024693108724362124,0.024094726903063395,0.0,0.24446270500844214,0.018130821466827454,-0.002195076335011746,0.06302239073850838,0.03429032943809715,0.0
344,-0.058261307362978326,-0.024180547812316665,0.005008693157414405,0.04531835935357051,0.00963382691646346,-0.03399873566114536,-0.002816296298151048,0.0020593862480200145,-0.00714595423991113,0.0,0.2770446277077319,0.002739508284075341,0.020190279080425377,-0.009839869838344164,-2.9732106974269974e-05,0.0
764,-0.09195355520965397,-0.013271875702701632,0.006486065626119781,-0.02687007944171989,-0.0021993457228203996,-0.01846813130997171,-0.019255871562769738,-0.0015574081136477576,-0.033303332550656,0.0,-0.03078355599135773,-0.0055434791210952,0.0020391823702575985,0.010589532831525592,-0.0030880699061203573,0.0
736,-0.09645336303597797,-0.03643980125022747,0.005804002622688463,-0.034781388770945734,-0.008894824748301534,-0.011634901856979985,-0.027586825804379867,-9.033922638515258e-05,-0.03539304802450218,0.0,-0.0243348991889768,-0.007722540266333735,0.002344655204233209,0.00126659040735845,-0.000554393618321131,0.0
431,-0.0613943087326743,0.007311985434841324,-0.003643466854512174,-0.023429160646187736,0.003310292046319389,-0.011897806262327533,-0.012972293654577341,0.01280523449755635,-0.024674199701635917,0.0,-0.003031734557097512,-0.005796030183943128,0.006094500383199304,-0.03767118771359278,0.0010282850055718877,0.0
254,0.07369096646149974,-0.07457682044548876,-0.006033459358225103,-0.016649826764721307,-0.007821123164831606,-0.012796343468147162,-0.008459568003430677,0.0037048837708212245,0.006498290483179113,0.0,-0.14403049522282071,-0.012059666928723482,-0.009093289904231657,-0.03551996681856683,-0.004802148667631186,0.0
657,0.10310474408619054,0.019828381501248684,0.010656439151732066,-0.046241467977762594,0.0056427813036390734,0.003957215663038108,-0.006860981878894077,0.007505711544337986,0.029054697467097098,0.0,-0.03107334773846603,0.009985856645970655,0.0049143383756780215,0.022376170514369947,-0.0070654406925783975,0.0
155,-0.06693676898731869,-0.02697984654989826,-0.0035646705821305836,-0.005668914661045209,-0.009285366293733239,-0.01935246874735828,-2.5920700803968976e-05,-0.006718923330352347,0.013463544511180635,0.0,-0.1012783350207948,-0.00020460557422481156,-0.01534931272876456,0.025555094787457152,0.02001471160227995,0.0
333,-0.07423464171056354,0.051574022554600016,0.0031690791810651112,0.013356718808769586,-0.0003832766635832769,-0.01614473824072118,-0.007709655643439762,-0.002432231815339064,-0.027575486500912537,0.0,-0.12291377991771874,-0.03500914726103377,-0.01304493472079928,-0.019014268321738966,-0.005202978115035943,0.0
327,-0.09300158348038887,0.12586155611243918,0.01732682078181398,0.08357417743521041,0.005282629184012308,-0.012527245742879252,0.004187245422583822,-0.0040051906996886,-0.02188125586359829,0.0,0.2711053684562569,0.0034879626057459628,0.030058274438611872,0.0036546128508264447,0.0006181314860573404,0.0
